Star Citizen ,"2014-10-20 20:14:15 +0000, 2014-10-20 19:47:08 +0000, 2014-09-23 20:16:58 +0000, 2014-09-23 20:13:24 +0000, 2014-12-15 18:03:12 +0000, 2014-09-25 19:49:39 +0000, 2015-01-19 19:08:16 +0000, 2015-01-19 19:09:27 +0000, 2015-01-19 19:10:57 +0000, 2015-01-19 19:12:08 +0000, 2014-08-06 17:09:45 +0000, 2014-11-06 21:22:16 +0000, 2014-10-07 18:01:56 +0000, 2014-11-03 19:57:31 +0000, 2014-10-16 16:04:27 +0000, 2014-08-21 14:11:34 +0000, 2014-10-07 17:17:02 +0000, 2014-10-07 18:59:45 +0000, 2014-11-03 19:47:53 +0000, 2014-11-03 19:39:12 +0000, 2014-10-20 19:51:16 +0000",21
SIRIUS Travel Link ,"2014-11-13 13:46:31 +0000, 2014-11-12 18:39:11 +0000, 2014-11-12 16:00:48 +0000, 2014-11-13 13:50:17 +0000, 2014-11-13 13:50:52 +0000, 2014-11-13 13:52:22 +0000, 2014-11-12 18:35:30 +0000, 2014-11-13 13:47:34 +0000, 2014-11-13 15:36:51 +0000, 2014-11-12 18:35:06 +0000, 2014-11-12 15:58:11 +0000, 2014-11-12 18:12:33 +0000, 2014-11-13 16:53:31 +0000, 2014-11-12 16:08:21 +0000, 2014-11-12 18:33:59 +0000, 2014-11-12 16:40:31 +0000, 2014-11-13 13:49:45 +0000, 2014-11-13 15:40:52 +0000, 2014-11-13 16:54:33 +0000, 2014-11-12 18:33:30 +0000, 2014-11-12 18:15:23 +0000, 2014-11-13 13:55:01 +0000, 2014-11-12 15:57:20 +0000, 2014-11-12 18:21:33 +0000",24
Ottawa ,"2014-11-12 20:44:59 +0000, 2014-12-08 18:32:17 +0000, 2014-11-21 17:22:33 +0000, 2014-11-24 16:11:04 +0000, 2014-12-28 22:02:51 +0000, 2014-11-24 19:42:43 +0000, 2014-11-24 20:18:48 +0000, 2014-11-24 22:28:42 +0000, 2014-11-24 22:40:23 +0000, 2014-12-01 21:23:14 +0000, 2014-12-01 22:52:01 +0000, 2014-12-02 21:18:10 +0000, 2014-12-03 23:26:25 +0000, 2014-12-28 01:04:36 +0000, 2014-12-15 19:08:42 +0000",15
Norman Paterson School of International Affairs ,"2014-12-16 16:32:31 +0000, 2014-10-22 13:31:27 +0000, 2014-12-08 15:37:39 +0000, 2014-12-08 15:42:38 +0000, 2014-10-22 13:30:38 +0000, 2014-12-08 15:02:32 +0000, 2014-12-08 15:00:25 +0000, 2014-12-16 16:10:46 +0000, 2014-12-08 14:59:42 +0000, 2014-12-18 18:16:22 +0000, 2014-12-16 16:21:25 +0000, 2014-12-16 16:35:47 +0000, 2014-12-16 16:22:56 +0000",13
List of Web archiving initiatives ,"2014-12-16 15:36:36 +0000, 2014-12-16 15:56:12 +0000, 2014-12-16 15:32:47 +0000, 2014-12-16 15:33:41 +0000, 2014-12-16 14:33:54 +0000, 2014-12-16 14:55:13 +0000, 2014-12-16 14:02:24 +0000, 2014-12-16 15:57:56 +0000, 2014-12-16 15:21:05 +0000, 2014-12-16 15:19:02 +0000, 2014-12-16 15:22:51 +0000, 2014-12-16 14:07:34 +0000, 2014-12-16 14:51:27 +0000, 2014-12-16 14:46:25 +0000, 2014-12-16 15:52:01 +0000",15
Hanna–Barbera Classics Collection ,"2014-10-29 14:17:37 +0000, 2014-09-09 18:02:42 +0000, 2014-10-29 15:06:47 +0000, 2014-10-29 15:06:48 +0000, 2014-10-29 15:12:32 +0000, 2014-09-09 18:02:13 +0000, 2014-09-09 18:02:59 +0000, 2014-09-16 16:42:40 +0000, 2014-10-29 15:13:04 +0000, 2014-10-29 15:31:04 +0000, 2014-10-29 14:17:00 +0000, 2014-10-29 15:04:39 +0000",12
HMCS Algonquin (DDG 283) ,"2015-02-18 21:04:45 +0000, 2015-02-18 22:50:55 +0000, 2015-02-18 20:42:13 +0000, 2015-02-18 20:40:25 +0000, 2015-02-23 17:30:37 +0000, 2015-02-20 17:16:04 +0000, 2015-02-20 17:15:40 +0000, 2015-02-20 17:14:54 +0000, 2015-02-20 17:03:24 +0000, 2015-02-18 21:29:32 +0000, 2015-02-18 20:54:06 +0000, 2015-02-18 20:39:08 +0000, 2015-02-18 20:38:28 +0000, 2015-02-18 20:34:18 +0000, 2015-02-18 19:56:03 +0000, 2015-02-18 19:52:14 +0000, 2015-02-19 19:02:34 +0000, 2015-02-18 19:51:53 +0000, 2015-02-18 19:51:10 +0000, 2015-02-18 19:47:12 +0000, 2015-02-19 18:31:18 +0000, 2015-02-19 18:27:22 +0000, 2015-02-19 17:27:00 +0000, 2015-02-19 17:24:30 +0000, 2015-02-18 19:41:46 +0000, 2015-02-19 17:22:49 +0000, 2015-02-18 21:22:35 +0000, 2015-02-18 19:38:53 +0000, 2015-02-19 17:20:38 +0000, 2015-02-19 17:14:40 +0000, 2015-02-18 19:35:32 +0000, 2015-02-19 17:07:05 +0000, 2015-02-19 16:57:03 +0000, 2015-02-19 16:55:12 +0000, 2015-02-19 16:52:40 +0000, 2015-02-18 19:29:55 +0000, 2015-02-17 23:04:04 +0000, 2015-02-17 23:02:57 +0000, 2015-02-17 22:52:09 +0000, 2015-02-19 16:35:55 +0000, 2015-02-18 21:16:17 +0000, 2015-02-18 21:13:59 +0000, 2015-02-18 22:39:01 +0000, 2015-02-17 22:47:03 +0000, 2014-09-24 14:41:33 +0000, 2014-09-24 14:51:12 +0000, 2015-02-18 22:27:17 +0000, 2015-02-18 22:19:39 +0000, 2015-02-19 17:21:53 +0000, 2015-02-17 22:22:41 +0000, 2015-02-18 22:13:19 +0000, 2015-02-18 22:10:03 +0000, 2015-02-18 22:05:37 +0000, 2015-02-18 21:51:04 +0000, 2015-02-18 21:46:05 +0000, 2015-02-18 21:42:22 +0000, 2015-02-18 21:36:55 +0000, 2015-02-23 19:58:21 +0000, 2015-02-23 17:33:31 +0000, 2015-02-19 19:09:33 +0000",60
Colt Canada C7 rifle ,"2015-02-19 15:41:36 +0000, 2015-03-02 15:43:43 +0000, 2015-02-19 15:40:41 +0000, 2015-03-02 15:39:39 +0000, 2015-02-19 15:36:26 +0000, 2015-03-02 15:44:37 +0000, 2015-02-19 15:43:28 +0000, 2015-02-26 15:46:19 +0000, 2015-02-26 15:34:05 +0000, 2015-02-26 15:32:12 +0000, 2015-02-19 20:33:54 +0000, 2015-02-19 20:30:32 +0000, 2015-02-19 20:23:52 +0000, 2015-02-19 20:21:45 +0000, 2015-02-19 15:50:31 +0000, 2015-02-19 15:49:29 +0000, 2015-02-19 15:45:09 +0000, 2015-03-03 13:41:20 +0000, 2015-02-19 20:26:34 +0000",19
Charny (Lévis) ,"2015-02-26 20:10:07 +0000, 2015-02-26 20:17:02 +0000, 2015-02-26 20:18:16 +0000, 2015-02-26 20:19:20 +0000, 2015-02-26 20:14:53 +0000, 2015-02-26 20:22:35 +0000, 2015-02-26 15:39:06 +0000, 2015-02-23 13:57:35 +0000, 2015-02-26 20:10:35 +0000, 2015-02-26 20:20:31 +0000, 2015-02-26 20:08:22 +0000, 2015-02-26 20:03:34 +0000",12
Ancaster Ontario ,"2014-10-14 19:04:18 +0000, 2014-10-14 20:45:23 +0000, 2014-09-03 16:37:09 +0000, 2014-11-04 16:59:13 +0000, 2014-08-07 21:12:37 +0000, 2014-08-06 20:13:34 +0000, 2014-09-16 21:01:27 +0000, 2014-12-13 21:42:29 +0000, 2014-08-05 21:24:37 +0000, 2014-12-15 23:23:21 +0000, 2014-08-05 22:31:56 +0000, 2014-09-02 18:26:29 +0000, 2014-09-02 19:13:18 +0000, 2015-01-23 20:08:34 +0000, 2014-08-06 19:41:16 +0000, 2014-07-24 21:17:30 +0000",16
