Canadian Broadcasting Corporation,40
Canadian Department of National Defence,463
Canadian House of Commons,159
Canadian Museum of Civilization,5
Canadian Space Agency,10
Correctional Services Canada,1
Department of Fisheries and Oceans,22
Department of Justice Canada,29
Environment Canada,378
Federal Court of Canada,1
Finance Canada,24
Government of Canada,53
Industry Canada,44
Library and Archives Canada,31
Natural Resources Canada,73
Shared Services Canada,742
Statistics Canada,19
Transport Canada,11
