topicId,words..
1,ship country trade england people town great day good passengers
2,men general arrived captain indians st vessel killed colonel number
3,mr made present subject committee bill house labour give great
4,mr company north west place lord river governor esq miles
5,states united kingdom british inform american americans received america war
6,ditto time june purpose john house government man sir order
7,country public part place river found present general means large
8,land south colony emigration number government persons wales years emigrants
9,king people chief island man time natives crew sydney port
10,state letter upper york young canada free royal miles inhabitants
